Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
brain_9_CKDL190139954-1a-D704-AK1681_H3WF3BBXX_L6_1	brain_9_CKDL190139954-1a-D704-AK1681_H3WF3BBXX_L6_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13978752.0	0.0	150.0	53.0	51.852296250415996	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	warn	warn	fail
brain_9_CKDL190139954-1a-D704-AK1681_H3WF3BBXX_L6_2	brain_9_CKDL190139954-1a-D704-AK1681_H3WF3BBXX_L6_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13978752.0	0.0	150.0	53.0	51.59193653419082	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	warn	warn	fail
muscle_10_CKDL190139953-1a-D708-AK1545_H3WF3BBXX_L5_1	muscle_10_CKDL190139953-1a-D708-AK1545_H3WF3BBXX_L5_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16618975.0	0.0	150.0	58.0	24.62828639577406	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	fail
muscle_10_CKDL190139953-1a-D708-AK1545_H3WF3BBXX_L5_2	muscle_10_CKDL190139953-1a-D708-AK1545_H3WF3BBXX_L5_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16618975.0	0.0	150.0	58.0	27.288444616926476	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
muscle_11_CKDL190139953-1a-D709-AK1545_H3WF3BBXX_L5_1	muscle_11_CKDL190139953-1a-D709-AK1545_H3WF3BBXX_L5_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15088973.0	0.0	150.0	58.0	22.329371807532212	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
muscle_11_CKDL190139953-1a-D709-AK1545_H3WF3BBXX_L5_2	muscle_11_CKDL190139953-1a-D709-AK1545_H3WF3BBXX_L5_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15088973.0	0.0	150.0	57.0	24.000795689203922	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
muscle_12_CKDL190139953-1a-D710-AK1545_H3WF3BBXX_L5_1	muscle_12_CKDL190139953-1a-D710-AK1545_H3WF3BBXX_L5_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20546399.0	0.0	150.0	57.0	24.794948240893355	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	fail
muscle_12_CKDL190139953-1a-D710-AK1545_H3WF3BBXX_L5_2	muscle_12_CKDL190139953-1a-D710-AK1545_H3WF3BBXX_L5_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20546399.0	0.0	150.0	57.0	27.419504198516776	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
muscle_13_CKDL190139953-1a-D711-AK1545_H3WF3BBXX_L5_1	muscle_13_CKDL190139953-1a-D711-AK1545_H3WF3BBXX_L5_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15346732.0	0.0	150.0	59.0	24.587857291762155	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	fail
muscle_13_CKDL190139953-1a-D711-AK1545_H3WF3BBXX_L5_2	muscle_13_CKDL190139953-1a-D711-AK1545_H3WF3BBXX_L5_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15346732.0	0.0	150.0	59.0	26.828873429167206	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
muscle_14_CKDL190139953-1a-D712-AK1545_H3WF3BBXX_L5_1	muscle_14_CKDL190139953-1a-D712-AK1545_H3WF3BBXX_L5_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19425249.0	0.0	150.0	57.0	23.418865115936324	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	fail
muscle_14_CKDL190139953-1a-D712-AK1545_H3WF3BBXX_L5_2	muscle_14_CKDL190139953-1a-D712-AK1545_H3WF3BBXX_L5_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19425249.0	0.0	150.0	57.0	25.80124747586047	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
muscle_15_CKDL190139953-1a-D708-AK1546_H3WF3BBXX_L5_1	muscle_15_CKDL190139953-1a-D708-AK1546_H3WF3BBXX_L5_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18080452.0	0.0	150.0	58.0	24.147393251426216	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	fail
muscle_15_CKDL190139953-1a-D708-AK1546_H3WF3BBXX_L5_2	muscle_15_CKDL190139953-1a-D708-AK1546_H3WF3BBXX_L5_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18080452.0	0.0	150.0	57.0	26.601530253294957	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
muscle_16_CKDL190139953-1a-D709-AK1546_H3WF3BBXX_L5_1	muscle_16_CKDL190139953-1a-D709-AK1546_H3WF3BBXX_L5_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16779319.0	0.0	150.0	59.0	25.852923034038955	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	fail
muscle_16_CKDL190139953-1a-D709-AK1546_H3WF3BBXX_L5_2	muscle_16_CKDL190139953-1a-D709-AK1546_H3WF3BBXX_L5_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16779319.0	0.0	150.0	58.0	28.62686324791576	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
muscle_17_CKDL190139953-1a-D710-AK1546_H3WF3BBXX_L5_1	muscle_17_CKDL190139953-1a-D710-AK1546_H3WF3BBXX_L5_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14241702.0	0.0	150.0	58.0	26.224805903402842	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	fail
muscle_17_CKDL190139953-1a-D710-AK1546_H3WF3BBXX_L5_2	muscle_17_CKDL190139953-1a-D710-AK1546_H3WF3BBXX_L5_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14241702.0	0.0	150.0	57.0	27.928564564489278	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
muscle_18_CKDL190139953-1a-D711-AK1546_H3WF3BBXX_L5_1	muscle_18_CKDL190139953-1a-D711-AK1546_H3WF3BBXX_L5_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19020505.0	0.0	150.0	58.0	23.84948849009876	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	fail
muscle_18_CKDL190139953-1a-D711-AK1546_H3WF3BBXX_L5_2	muscle_18_CKDL190139953-1a-D711-AK1546_H3WF3BBXX_L5_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19020505.0	0.0	150.0	57.0	26.642377835333665	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
muscle_19_CKDL190139953-1a-D712-AK1546_H3WF3BBXX_L5_1	muscle_19_CKDL190139953-1a-D712-AK1546_H3WF3BBXX_L5_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17120272.0	0.0	150.0	58.0	24.72421466153859	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	fail
muscle_19_CKDL190139953-1a-D712-AK1546_H3WF3BBXX_L5_2	muscle_19_CKDL190139953-1a-D712-AK1546_H3WF3BBXX_L5_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17120272.0	0.0	150.0	57.0	26.888962343546357	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
muscle_1_CKDL190139953-1a-D708-AK1543_H3WF3BBXX_L5_1	muscle_1_CKDL190139953-1a-D708-AK1543_H3WF3BBXX_L5_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23566575.0	0.0	150.0	60.0	21.23358167518914	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	fail
muscle_1_CKDL190139953-1a-D708-AK1543_H3WF3BBXX_L5_2	muscle_1_CKDL190139953-1a-D708-AK1543_H3WF3BBXX_L5_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23566575.0	0.0	150.0	60.0	24.433346697551674	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
muscle_2_CKDL190139953-1a-D709-AK1543_H3WF3BBXX_L5_1	muscle_2_CKDL190139953-1a-D709-AK1543_H3WF3BBXX_L5_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18149208.0	0.0	150.0	60.0	22.280703062744173	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	fail
muscle_2_CKDL190139953-1a-D709-AK1543_H3WF3BBXX_L5_2	muscle_2_CKDL190139953-1a-D709-AK1543_H3WF3BBXX_L5_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18149208.0	0.0	150.0	60.0	25.358155448861293	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
muscle_3_CKDL190139953-1a-D710-AK1543_H3WF3BBXX_L5_1	muscle_3_CKDL190139953-1a-D710-AK1543_H3WF3BBXX_L5_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20317634.0	0.0	150.0	59.0	22.74442256040759	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	fail
muscle_3_CKDL190139953-1a-D710-AK1543_H3WF3BBXX_L5_2	muscle_3_CKDL190139953-1a-D710-AK1543_H3WF3BBXX_L5_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20317634.0	0.0	150.0	59.0	25.435716690917914	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
muscle_4_CKDL190139953-1a-D711-AK1543_H3WF3BBXX_L5_1	muscle_4_CKDL190139953-1a-D711-AK1543_H3WF3BBXX_L5_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20454489.0	0.0	150.0	61.0	20.987788507286083	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
muscle_4_CKDL190139953-1a-D711-AK1543_H3WF3BBXX_L5_2	muscle_4_CKDL190139953-1a-D711-AK1543_H3WF3BBXX_L5_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20454489.0	0.0	150.0	60.0	23.78460153853487	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
muscle_5_CKDL190139953-1a-D712-AK1543_H3WF3BBXX_L5_1	muscle_5_CKDL190139953-1a-D712-AK1543_H3WF3BBXX_L5_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17336624.0	0.0	150.0	60.0	26.165688960959884	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	fail
muscle_5_CKDL190139953-1a-D712-AK1543_H3WF3BBXX_L5_2	muscle_5_CKDL190139953-1a-D712-AK1543_H3WF3BBXX_L5_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17336624.0	0.0	150.0	59.0	28.53383087292707	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
muscle_6_CKDL190139953-1a-D708-AK1544_H3WF3BBXX_L5_1	muscle_6_CKDL190139953-1a-D708-AK1544_H3WF3BBXX_L5_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8857717.0	0.0	150.0	54.0	17.03131131299373	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
muscle_6_CKDL190139953-1a-D708-AK1544_H3WF3BBXX_L5_2	muscle_6_CKDL190139953-1a-D708-AK1544_H3WF3BBXX_L5_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8857717.0	0.0	150.0	53.0	18.018282596184406	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
muscle_7_CKDL190139953-1a-D710-AK1544_H3WF3BBXX_L5_1	muscle_7_CKDL190139953-1a-D710-AK1544_H3WF3BBXX_L5_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20233748.0	0.0	150.0	59.0	22.420915602134155	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	fail
muscle_7_CKDL190139953-1a-D710-AK1544_H3WF3BBXX_L5_2	muscle_7_CKDL190139953-1a-D710-AK1544_H3WF3BBXX_L5_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20233748.0	0.0	150.0	58.0	25.91865686981341	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
muscle_8_CKDL190139953-1a-D711-AK1544_H3WF3BBXX_L5_1	muscle_8_CKDL190139953-1a-D711-AK1544_H3WF3BBXX_L5_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18113268.0	0.0	150.0	61.0	22.410228568858262	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	fail
muscle_8_CKDL190139953-1a-D711-AK1544_H3WF3BBXX_L5_2	muscle_8_CKDL190139953-1a-D711-AK1544_H3WF3BBXX_L5_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18113268.0	0.0	150.0	60.0	25.929272334717513	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
muscle_9_CKDL190139953-1a-D712-AK1544_H3WF3BBXX_L5_1	muscle_9_CKDL190139953-1a-D712-AK1544_H3WF3BBXX_L5_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23018908.0	0.0	150.0	61.0	20.230937743695662	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	fail
muscle_9_CKDL190139953-1a-D712-AK1544_H3WF3BBXX_L5_2	muscle_9_CKDL190139953-1a-D712-AK1544_H3WF3BBXX_L5_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23018908.0	0.0	150.0	60.0	23.522112040721108	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
spleen_10_CKDL190139955-1a-D708-AK1545_H3WF3BBXX_L7_1	spleen_10_CKDL190139955-1a-D708-AK1545_H3WF3BBXX_L7_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19072397.0	0.0	150.0	51.0	8.859920908370738	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	fail
spleen_10_CKDL190139955-1a-D708-AK1545_H3WF3BBXX_L7_2	spleen_10_CKDL190139955-1a-D708-AK1545_H3WF3BBXX_L7_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19072397.0	0.0	150.0	51.0	12.028359805957516	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
spleen_11_CKDL190139955-1a-D709-AK1545_H3WF3BBXX_L7_1	spleen_11_CKDL190139955-1a-D709-AK1545_H3WF3BBXX_L7_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21486064.0	0.0	150.0	51.0	10.309601959778524	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	fail
spleen_11_CKDL190139955-1a-D709-AK1545_H3WF3BBXX_L7_2	spleen_11_CKDL190139955-1a-D709-AK1545_H3WF3BBXX_L7_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21486064.0	0.0	150.0	51.0	13.702522320487018	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
spleen_12_CKDL190139955-1a-D710-AK1545_H3WF3BBXX_L7_1	spleen_12_CKDL190139955-1a-D710-AK1545_H3WF3BBXX_L7_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21661144.0	0.0	150.0	53.0	36.25458766435356	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
spleen_12_CKDL190139955-1a-D710-AK1545_H3WF3BBXX_L7_2	spleen_12_CKDL190139955-1a-D710-AK1545_H3WF3BBXX_L7_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21661144.0	0.0	150.0	53.0	36.270824849937014	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
spleen_13_CKDL190139955-1a-D711-AK1545_H3WF3BBXX_L7_1	spleen_13_CKDL190139955-1a-D711-AK1545_H3WF3BBXX_L7_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17448037.0	0.0	150.0	51.0	18.80910517228942	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	fail
spleen_13_CKDL190139955-1a-D711-AK1545_H3WF3BBXX_L7_2	spleen_13_CKDL190139955-1a-D711-AK1545_H3WF3BBXX_L7_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17448037.0	0.0	150.0	50.0	20.608785528612895	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
spleen_14_CKDL190139955-1a-D712-AK1545_H3WF3BBXX_L7_1	spleen_14_CKDL190139955-1a-D712-AK1545_H3WF3BBXX_L7_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18936388.0	0.0	150.0	52.0	15.724029048121412	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
spleen_14_CKDL190139955-1a-D712-AK1545_H3WF3BBXX_L7_2	spleen_14_CKDL190139955-1a-D712-AK1545_H3WF3BBXX_L7_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18936388.0	0.0	150.0	52.0	17.955044020330153	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
spleen_15_CKDL190139955-1a-D708-AK1546_H3WF3BBXX_L7_1	spleen_15_CKDL190139955-1a-D708-AK1546_H3WF3BBXX_L7_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16473346.0	0.0	150.0	53.0	13.390664825568162	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
spleen_15_CKDL190139955-1a-D708-AK1546_H3WF3BBXX_L7_2	spleen_15_CKDL190139955-1a-D708-AK1546_H3WF3BBXX_L7_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16473346.0	0.0	150.0	53.0	17.95223522427893	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
spleen_16_CKDL190139955-1a-D709-AK1546_H3WF3BBXX_L7_1	spleen_16_CKDL190139955-1a-D709-AK1546_H3WF3BBXX_L7_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16137988.0	0.0	150.0	54.0	14.466548262972323	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
spleen_16_CKDL190139955-1a-D709-AK1546_H3WF3BBXX_L7_2	spleen_16_CKDL190139955-1a-D709-AK1546_H3WF3BBXX_L7_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16137988.0	0.0	150.0	53.0	18.804143372311596	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
spleen_17_CKDL190139955-1a-D710-AK1546_H3WF3BBXX_L7_1	spleen_17_CKDL190139955-1a-D710-AK1546_H3WF3BBXX_L7_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28484444.0	0.0	150.0	54.0	18.189807777141635	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
spleen_17_CKDL190139955-1a-D710-AK1546_H3WF3BBXX_L7_2	spleen_17_CKDL190139955-1a-D710-AK1546_H3WF3BBXX_L7_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28484444.0	0.0	150.0	54.0	20.566838596849472	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
spleen_18_CKDL190139955-1a-D711-AK1546_H3WF3BBXX_L7_1	spleen_18_CKDL190139955-1a-D711-AK1546_H3WF3BBXX_L7_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15063542.0	0.0	150.0	54.0	9.43217622034277	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
spleen_18_CKDL190139955-1a-D711-AK1546_H3WF3BBXX_L7_2	spleen_18_CKDL190139955-1a-D711-AK1546_H3WF3BBXX_L7_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15063542.0	0.0	150.0	54.0	15.612385286349802	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
spleen_19_CKDL190139955-1a-D712-AK1546_H3WF3BBXX_L7_1	spleen_19_CKDL190139955-1a-D712-AK1546_H3WF3BBXX_L7_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24006935.0	0.0	150.0	53.0	12.906231181397521	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
spleen_19_CKDL190139955-1a-D712-AK1546_H3WF3BBXX_L7_2	spleen_19_CKDL190139955-1a-D712-AK1546_H3WF3BBXX_L7_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24006935.0	0.0	150.0	52.0	13.237487187387945	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
spleen_1_CKDL190139955-1a-D708-AK1543_H3WF3BBXX_L7_1	spleen_1_CKDL190139955-1a-D708-AK1543_H3WF3BBXX_L7_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20082048.0	0.0	150.0	61.0	16.379309644073377	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
spleen_1_CKDL190139955-1a-D708-AK1543_H3WF3BBXX_L7_2	spleen_1_CKDL190139955-1a-D708-AK1543_H3WF3BBXX_L7_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20082048.0	0.0	150.0	61.0	20.276316718377135	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
spleen_2_CKDL190139955-1a-D709-AK1543_H3WF3BBXX_L7_1	spleen_2_CKDL190139955-1a-D709-AK1543_H3WF3BBXX_L7_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16202538.0	0.0	150.0	54.0	10.690128861088985	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
spleen_2_CKDL190139955-1a-D709-AK1543_H3WF3BBXX_L7_2	spleen_2_CKDL190139955-1a-D709-AK1543_H3WF3BBXX_L7_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16202538.0	0.0	150.0	54.0	15.24591421154127	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
spleen_3_CKDL190139955-1a-D710-AK1543_H3WF3BBXX_L7_1	spleen_3_CKDL190139955-1a-D710-AK1543_H3WF3BBXX_L7_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13325614.0	0.0	150.0	49.0	16.19522907683443	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	fail
spleen_3_CKDL190139955-1a-D710-AK1543_H3WF3BBXX_L7_2	spleen_3_CKDL190139955-1a-D710-AK1543_H3WF3BBXX_L7_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13325614.0	0.0	150.0	49.0	20.198230117565817	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	fail
spleen_4_CKDL190139955-1a-D711-AK1543_H3WF3BBXX_L7_1	spleen_4_CKDL190139955-1a-D711-AK1543_H3WF3BBXX_L7_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17481974.0	0.0	150.0	58.0	13.917002723255367	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
spleen_4_CKDL190139955-1a-D711-AK1543_H3WF3BBXX_L7_2	spleen_4_CKDL190139955-1a-D711-AK1543_H3WF3BBXX_L7_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17481974.0	0.0	150.0	58.0	17.603080564140154	150.0	150	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	fail
spleen_5_CKDL190139955-1a-D712-AK1543_H3WF3BBXX_L7_1	spleen_5_CKDL190139955-1a-D712-AK1543_H3WF3BBXX_L7_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13831361.0	0.0	150.0	50.0	8.334121816260552	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	fail
spleen_5_CKDL190139955-1a-D712-AK1543_H3WF3BBXX_L7_2	spleen_5_CKDL190139955-1a-D712-AK1543_H3WF3BBXX_L7_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13831361.0	0.0	150.0	50.0	13.661402147132918	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	fail
spleen_6_CKDL190139955-1a-D708-AK1544_H3WF3BBXX_L7_1	spleen_6_CKDL190139955-1a-D708-AK1544_H3WF3BBXX_L7_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15248331.0	0.0	150.0	57.0	3.002311471493721	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
spleen_6_CKDL190139955-1a-D708-AK1544_H3WF3BBXX_L7_2	spleen_6_CKDL190139955-1a-D708-AK1544_H3WF3BBXX_L7_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15248331.0	0.0	150.0	57.0	5.444382876884994	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
spleen_7_CKDL190139955-1a-D709-AK1544_H3WF3BBXX_L7_1	spleen_7_CKDL190139955-1a-D709-AK1544_H3WF3BBXX_L7_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15920450.0	0.0	150.0	49.0	16.28125314769339	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	fail
spleen_7_CKDL190139955-1a-D709-AK1544_H3WF3BBXX_L7_2	spleen_7_CKDL190139955-1a-D709-AK1544_H3WF3BBXX_L7_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15920450.0	0.0	150.0	49.0	19.086545471726712	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	fail
spleen_8_CKDL190139955-1a-D711-AK1544_H3WF3BBXX_L7_1	spleen_8_CKDL190139955-1a-D711-AK1544_H3WF3BBXX_L7_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19447245.0	0.0	150.0	57.0	17.42638909021429	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
spleen_8_CKDL190139955-1a-D711-AK1544_H3WF3BBXX_L7_2	spleen_8_CKDL190139955-1a-D711-AK1544_H3WF3BBXX_L7_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19447245.0	0.0	150.0	57.0	19.980079577750136	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
spleen_9_CKDL190139955-1a-D712-AK1544_H3WF3BBXX_L7_1	spleen_9_CKDL190139955-1a-D712-AK1544_H3WF3BBXX_L7_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13661404.0	0.0	150.0	49.0	21.015377801049983	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	fail
spleen_9_CKDL190139955-1a-D712-AK1544_H3WF3BBXX_L7_2	spleen_9_CKDL190139955-1a-D712-AK1544_H3WF3BBXX_L7_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13661404.0	0.0	150.0	49.0	23.40858753623834	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	fail
